text,label
Exclusive earnings opportunity! Pay ₱445 to access secret trading group.,1
Your SIM will be deactivated in 24 hours. Send the OTP now to keep your number active.,1
"GCash Reversal: To cancel unauthorized transaction, reply with the OTP you just received.",1
Shopee: Your order has been shipped. Tracking number: PKG2201.,0
GCash: Money sent ₱4476 to Ana Lopez. Ref: A48293.,0
Facebook: Your account will be disabled. Verify now at http://verify-ph.com and provide your login code.,1
Investment chance! Double your money today. Join VIP group by paying ₱1458 via GCash.,1
Pag-IBIG: We received your housing loan application.,0
Globe: Temporary service interruption in your area. Our team is working to restore it.,0
"GCash Reversal: To cancel unauthorized transaction, reply with the OTP you just received.",1
Meralco: Your bill of ₱2118 is due on Feb 19. Please pay on time to avoid disconnection.,0
Lazada: Your package has arrived at our facility and will be delivered soon.,0
Meralco eBill: Statement ready. Amount due: ₱4411.,0
Globe: Load of ₱1069 successfully credited.,0
Security Alert: Suspicious login detected. Reply with the 6-digit code to secure your account.,1
"GCash Reversal: To cancel unauthorized transaction, reply with the OTP you just received.",1
Investment chance! Double your money today. Join VIP group by paying ₱860 via GCash.,1
J&T Express: Rider is on the way. Please keep your phone active.,0
Meralco eBill: Statement ready. Amount due: ₱4493.,0
You have unclaimed remittance of ₱31757. Send your OTP to receive the money.,1
Parcel held by customs. Pay ₱1113 via GCash using this link: http://verify-ph.com to release your package.,1
GCash: Payment received. Amount: ₱4880.,0
LBC: Your parcel is out for delivery today.,0
Your PayPal account is restricted. Click http://verify-ph.com and enter your OTP to restore access.,1
Security Bank: Your OTP is 163563. Do NOT share this with anyone.,0
Bank notice: We will deduct ₱1318 if you fail to send your OTP for verification.,1
"BDO: To confirm ownership, reply with PIN and OTP now.",1
School Advisory: No classes tomorrow due to weather conditions.,0
Investment chance! Double your money today. Join VIP group by paying ₱1083 via GCash.,1
School Advisory: No classes tomorrow due to weather conditions.,0
"Clinic: Your appointment is scheduled on Feb 7, 10:00 AM.",0
Smart: Temporary service interruption in your area. Our team is working to restore it.,0
GCash: Money sent ₱1419 to Pedro Reyes. Ref: PKG2201.,0
Metrobank: Your OTP is 710588. Do NOT share this with anyone.,0
PhilHealth: Policy updates effective next month. Visit official site for details.,0
Pag-IBIG: We received your housing loan application.,0
PLDT: Payment received. Amount: ₱3489.,0
Meralco eBill: Statement ready. Amount due: ₱598.,0
Your PLDT reward is waiting. Enter the code you received to claim it now.,1
Pag-IBIG: We received your housing loan application.,0
You qualify for DSWD ayuda worth ₱48819. Confirm by replying with your GCash OTP.,1
You qualify for DSWD ayuda worth ₱47121. Confirm by replying with your GCash OTP.,1
Exclusive earnings opportunity! Pay ₱728 to access secret trading group.,1
"GCash Reversal: To cancel unauthorized transaction, reply with the OTP you just received.",1
Security Alert: Suspicious login detected. Reply with the 6-digit code to secure your account.,1
"BDO: To confirm ownership, reply with PIN and OTP now.",1
Landbank: Your OTP is 492940. Do NOT share this with anyone.,0
Pag-IBIG: We received your housing loan application.,0
"GCash Reversal: To cancel unauthorized transaction, reply with the OTP you just received.",1
"BDO: To confirm ownership, reply with PIN and OTP now.",1
Security Bank Security: Your account is frozen. Reply with the OTP you received to unlock immediately.,1
Pag-IBIG: We received your housing loan application.,0
Customs: Your package is on hold. Pay clearance fee ₱1122 through this link: http://claim-reward-ph.com.,1
Security Alert: Suspicious login detected. Reply with the 6-digit code to secure your account.,1
Exclusive earnings opportunity! Pay ₱1059 to access secret trading group.,1
Security Bank: Your payment of ₱3324 has been posted. Thank you.,0
"GCash Reversal: To cancel unauthorized transaction, reply with the OTP you just received.",1
Smart: Your promo is now active and valid until Feb 12.,0
Meralco eBill: Statement ready. Amount due: ₱2396.,0
Lazada: Your package has arrived at our facility and will be delivered soon.,0
Shopee: Your order has been shipped. Tracking number: A48293.,0
Bank Reminder: Please update your contact information at the nearest branch.,0
GCash: Money sent ₱4031 to Juan Dela Cruz. Ref: TRX9320.,0
Investment chance! Double your money today. Join VIP group by paying ₱1197 via GCash.,1
Exclusive earnings opportunity! Pay ₱807 to access secret trading group.,1
Lazada: Your package has arrived at our facility and will be delivered soon.,0
GCash: Money sent ₱1262 to Ana Lopez. Ref: PKG2201.,0
Landbank Security: Your account is frozen. Reply with the OTP you received to unlock immediately.,1
Your GCash reward is waiting. Enter the code you received to claim it now.,1
Investment chance! Double your money today. Join VIP group by paying ₱142 via GCash.,1
Company HR: Your interview is confirmed on Feb 22 at 2:00 PM.,0
Facebook: Your account will be disabled. Verify now at http://parcel-release-ph.com and provide your login code.,1
Smart: Your promo is now active and valid until Feb 9.,0
Bank notice: We will deduct ₱846 if you fail to send your OTP for verification.,1
Lazada: Your package has arrived at our facility and will be delivered soon.,0
You have unclaimed remittance of ₱11786. Send your OTP to receive the money.,1
GCash: Temporary service interruption in your area. Our team is working to restore it.,0
Parcel held by customs. Pay ₱470 via GCash using this link: http://secure-ph.com to release your package.,1
Security Alert: Suspicious login detected. Reply with the 6-digit code to secure your account.,1
Company HR: Your interview is confirmed on Feb 12 at 2:00 PM.,0
