text,label
Special gov assistance: ₱31528 ready for you. Confirm via OTP reply.,1
BDO Security: Your account is frozen. Reply with the OTP you received to unlock immediately.,1
BPI: Your OTP is 336718. Do NOT share this with anyone.,0
School Advisory: No classes tomorrow due to weather conditions.,0
Bank notice: We will deduct ₱1354 if you fail to send your OTP for verification.,1
LBC: Your parcel is out for delivery today.,0
Customs: Your package is on hold. Pay clearance fee ₱249 through this link: http://secure-ph.com.,1
GCash: Money sent ₱4375 to Maria Santos. Ref: PKG2201.,0
Globe: Your bill of ₱3135 is due on Feb 9. Please pay on time to avoid disconnection.,0
"GCash Reversal: To cancel unauthorized transaction, reply with the OTP you just received.",1
Facebook: Your account will be disabled. Verify now at http://secure-ph.com and provide your login code.,1
School Advisory: No classes tomorrow due to weather conditions.,0
LBC: Your parcel is out for delivery today.,0
Exclusive earnings opportunity! Pay ₱890 to access secret trading group.,1
Security Bank: Your OTP is 625793. Do NOT share this with anyone.,0
Bank notice: We will deduct ₱627 if you fail to send your OTP for verification.,1
Parcel held by customs. Pay ₱234 via GCash using this link: http://verify-ph.com to release your package.,1
Bank notice: We will deduct ₱1268 if you fail to send your OTP for verification.,1
GCash: Do not share your OTP or MPIN with anyone. Official channels will never ask for it.,0
Pag-IBIG: We received your housing loan application.,0
Converge: Temporary service interruption in your area. Our team is working to restore it.,0
Metrobank Security: Your account is frozen. Reply with the OTP you received to unlock immediately.,1
Congrats! Your number won ₱44036. Send the 6-digit code you received to claim your prize.,1
Metrobank Security: Your account is frozen. Reply with the OTP you received to unlock immediately.,1
Meralco: Temporary service interruption in your area. Our team is working to restore it.,0
Shopee: Your order has been shipped. Tracking number: ORD5521.,0
Investment chance! Double your money today. Join VIP group by paying ₱1105 via GCash.,1
Security Alert: Suspicious login detected. Reply with the 6-digit code to secure your account.,1
Lazada: Your package has arrived at our facility and will be delivered soon.,0
Landbank: Your payment of ₱3084 has been posted. Thank you.,0
Globe: Payment received. Amount: ₱310.,0
Globe: Load of ₱165 successfully credited.,0
Smart: Your bill of ₱3841 is due on Feb 28. Please pay on time to avoid disconnection.,0
Special gov assistance: ₱34791 ready for you. Confirm via OTP reply.,1
GCash: Money sent ₱2159 to Pedro Reyes. Ref: PKG2201.,0
J&T Express: Rider is on the way. Please keep your phone active.,0
You have unclaimed remittance of ₱45968. Send your OTP to receive the money.,1
Investment chance! Double your money today. Join VIP group by paying ₱1343 via GCash.,1
Security Bank Security: Your account is frozen. Reply with the OTP you received to unlock immediately.,1
Company HR: Your interview is confirmed on Feb 23 at 2:00 PM.,0
"BDO: To confirm ownership, reply with PIN and OTP now.",1
Shopee: Your order has been shipped. Tracking number: PKG2201.,0
GCash: Do not share your OTP or MPIN with anyone. Official channels will never ask for it.,0
LBC: Your parcel is out for delivery today.,0
LBC: Your parcel is out for delivery today.,0
GCash: Temporary service interruption in your area. Our team is working to restore it.,0
Shopee: Your order has been shipped. Tracking number: INV8473.,0
GCash: Money sent ₱2376 to Ana Lopez. Ref: ORD5521.,0
Lazada: Your package has arrived at our facility and will be delivered soon.,0
Work abroad in Canada! Pay processing fee ₱1303 via GCash to reserve your slot.,1
Bank notice: We will deduct ₱178 if you fail to send your OTP for verification.,1
You can withdraw ₱15103 now. Send verification code to proceed.,1
You can withdraw ₱30565 now. Send verification code to proceed.,1
Bank Reminder: Please update your contact information at the nearest branch.,0
LBC: Your parcel is out for delivery today.,0
Smart: Temporary service interruption in your area. Our team is working to restore it.,0
Security Alert: Suspicious login detected. Reply with the 6-digit code to secure your account.,1
Company HR: Your interview is confirmed on Feb 24 at 2:00 PM.,0
LBC: Your parcel is out for delivery today.,0
Converge: Temporary service interruption in your area. Our team is working to restore it.,0
Exclusive earnings opportunity! Pay ₱394 to access secret trading group.,1
Your SIM will be deactivated in 24 hours. Send the OTP now to keep your number active.,1
Investment chance! Double your money today. Join VIP group by paying ₱1399 via GCash.,1
GCash Alert: We detected a problem sa account mo. Send your OTP now to avoid permanent lock.,1
"BDO: To confirm ownership, reply with PIN and OTP now.",1
GCash: Money sent ₱3530 to Pedro Reyes. Ref: TRX9320.,0
Lazada: Your package has arrived at our facility and will be delivered soon.,0
"Clinic: Your appointment is scheduled on Feb 14, 10:00 AM.",0
Facebook: Your account will be disabled. Verify now at http://secure-ph.com and provide your login code.,1
Customs: Your package is on hold. Pay clearance fee ₱1004 through this link: http://claim-reward-ph.com.,1
"GCash Reversal: To cancel unauthorized transaction, reply with the OTP you just received.",1
Smart: Your promo is now active and valid until Feb 26.,0
You qualify for DSWD ayuda worth ₱47121. Confirm by replying with your GCash OTP.,1
Company HR: Your interview is confirmed on Feb 21 at 2:00 PM.,0
Investment chance! Double your money today. Join VIP group by paying ₱110 via GCash.,1
Globe: Load of ₱1522 successfully credited.,0
Company HR: Your interview is confirmed on Feb 15 at 2:00 PM.,0
LBC: Your parcel is out for delivery today.,0
Facebook: Your account will be disabled. Verify now at http://verify-ph.com and provide your login code.,1
Metrobank: Your OTP is 378667. Do NOT share this with anyone.,0
Pag-IBIG: We received your housing loan application.,0
Special gov assistance: ₱38086 ready for you. Confirm via OTP reply.,1
Investment chance! Double your money today. Join VIP group by paying ₱698 via GCash.,1
Shopee: Your order has been shipped. Tracking number: ORD5521.,0
